product_id,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm,product_category_name_english
116fde656744c95dfaf5198cf9f729f9,moveis_decoracao,310,5920,10,9000,420,30,320,4
779de9dd06ff30d5097a959a1e9dacdc,automotivo,590,10310,20,22500,610,220,220,9
e2a73ef4fc3f78da8824aaec109a2676,moveis_escritorio,430,21390,10,157000,580,280,580,0
1be9a7b25f7ddfe1dfda88b9b64f595c,relogios_presentes,520,7240,20,2000,160,110,110,6
86517efa74fb6e1a5ca3d3f2a88261c8,construcao_ferramentas_seguranca,560,8640,10,3000,160,160,160,0
dbfac885ce74c770040e1c99389553e1,casa_construcao,550,5230,20,198000,450,450,450,0
a266930db2217c102cb34cb715b5d479,perfumaria,450,9680,20,4330,160,120,140,0
b5b5a82ce5f1987b7e670f37629be51b,beleza_saude,560,9600,10,10000,160,20,110,2
060e9872b582bceaa83d520807008f1b,ferramentas_jardim,280,4200,10,55000,290,290,390,8
16d903db54452c6e230d4750b57926de,industria_comercio_e_negocios,600,7050,50,50000,450,270,360,0
94bb0da423501924c41368236d88e808,cama_mesa_banho,510,2810,10,9250,200,170,320,1
e0ad25bc5c1a836e8ce38526c92491a7,telefonia,590,8180,60,3500,170,40,120,7
bfdd5b3ebd8caed3cbd037fd900ac21c,moveis_decoracao,620,6690,90,12000,400,150,280,4
f56e93f8bec270456dd5ec3272bd42f3,moveis_decoracao,630,17000,10,7000,600,110,200,4
b7a89537c40b1f5a18b5ba75dbb91cbe,instrumentos_musicais,490,10510,10,5940,200,150,160,0
268feec11ba1349f37164ab1b833aae8,informatica_acessorios,290,13220,20,1000,200,70,170,5
0fb3fae6c3a74bc9fd48a66d0be5f378,utilidades_domesticas,450,4480,20,220500,700,350,510,0
027325f946f1b3d8f94c3496e9a59a10,construcao_ferramentas_seguranca,540,3350,30,3000,200,200,200,0
fda6e6a7a94613adeb9bc945a6dbcc10,construcao_ferramentas_construcao,460,2590,40,41000,350,140,350,0
2960abe1e5e92f82f98f3358b7fc9a2e,alimentos_bebidas,300,8900,10,3500,200,80,160,0
dc3503150b2bd7dbbb59168d88cd7550,malas_acessorios,450,2180,10,6000,470,100,310,0
82183967d9fde935fc0b0189bb68ccec,malas_acessorios,410,1320,10,5000,220,460,340,0
80c8ded77011b1d2c8e3bdbff65eab23,beleza_saude,600,9180,10,2000,220,30,150,2
e0cff02736e677c15eb7d04c7c52018f,perfumaria,490,5860,10,3500,160,60,190,0
d7360b45460f36f3135dcc40c8f51748,utilidades_domesticas,530,4780,30,6500,180,140,270,0
1817be76e48588632c33c4f112a79426,relogios_presentes,500,5090,20,2830,200,130,200,6
5533be1a0bbb27d0332f8279556b5e86,ferramentas_jardim,430,15190,40,7000,240,30,240,8
5415fa4d6c000c97cddafcf0419b09f7,fashion_bolsas_e_acessorios,400,3600,50,8000,160,90,110,0
d3beab88b06d8b7f89e83f6744861ee5,esporte_lazer,590,10960,90,9500,200,200,300,3
c5e31bcea566d7f28ebc011e9fee182f,cama_mesa_banho,500,7040,20,8000,160,100,160,1
1555b29b27754088e380f27d81d0311a,utilidades_domesticas,230,980,20,6500,350,200,300,0
2ebf6091e855569170c684ada3a284e5,automotivo,600,2580,10,2000,180,30,140,9
a98657f6c266c87a5477b593aa1b7a80,esporte_lazer,520,12960,10,13500,260,180,180,3
